Id;First Name;Last Name;Phone;Department;E-mail
11;SERDAL;KILIÇ;(551) 130 05 02;SOFTWARE DEVELOPMENT;SERDAL.KILIÇ11@gmail.com
14;HATICE;ERTEKIN;(554) 130 05 04;SOFTWARE DEVELOPMENT;HATICE.ERTEKIN14@gmail.com
22;FULYA;KAYA;(552) 130 05 02;SOFTWARE DEVELOPMENT;FULYA.KAYA22@gmail.com
38;ORHAN;ERDEM;(558) 130 05 08;SOFTWARE DEVELOPMENT;ORHAN.ERDEM38@gmail.com
52;KUBILAY;YÜZBASIOGLU;(552) 130 05 02;SOFTWARE DEVELOPMENT;KUBILAY.YÜZBASIOGLU52@gmail.com
58;SERKAN;ULUÖZ;(558) 130 05 08;SOFTWARE DEVELOPMENT;SERKAN.ULUÖZ58@gmail.com
67;GÜLAY;KULAÇ;(557) 130 05 07;SOFTWARE DEVELOPMENT;GÜLAY.KULAÇ67@gmail.com
75;TUGSEM;SELVI;(555) 130 05 05;SOFTWARE DEVELOPMENT;TUGSEM.SELVI75@gmail.com
1;ERGÜN;CANACANKATAN;(551) 130 05 01;SALES AND MARKETING;ERGÜN.CANACANKATAN1@gmail.com
6;NAGIHAN;ERDEM;(556) 130 05 06;SALES AND MARKETING;NAGIHAN.ERDEM6@gmail.com
7;NALAN;KAYA;(557) 130 05 07;SALES AND MARKETING;NALAN.KAYA7@gmail.com
30;TARKAN;ALMACIOGLU;(550) 130 05 00;SALES AND MARKETING;TARKAN.ALMACIOGLU30@gmail.com
34;REYHAN;ORHON;(554) 130 05 04;SALES AND MARKETING;REYHAN.ORHON34@gmail.com
43;BIRSEN;UZ;(553) 130 05 03;SALES AND MARKETING;BIRSEN.UZ43@gmail.com
46;MIRAÇ;KAYAYURT;(556) 130 05 06;SALES AND MARKETING;MIRAÇ.KAYAYURT46@gmail.com
50;NEBI;KARAKUM;(550) 130 05 00;SALES AND MARKETING;NEBI.KARAKUM50@gmail.com
54;PINAR;SÖNMEZ;(554) 130 05 04;SALES AND MARKETING;PINAR.SÖNMEZ54@gmail.com
69;GÖKHAN;YARBIL;(559) 130 05 09;SALES AND MARKETING;GÖKHAN.YARBIL69@gmail.com
70;MEHMET;ÖZTÜRK;(550) 130 05 00;SALES AND MARKETING;MEHMET.ÖZTÜRK70@gmail.com
5;MESUDE;SEN;(555) 130 05 05;RESEARCH AND DEVELOPMENT;MESUDE.SEN5@gmail.com
20;OKTAY
;SARAÇOGLU;(550) 130 05 00;RESEARCH AND DEVELOPMENT;OKTAY
.SARAÇOGLU20@gmail.com
21;ISMAIL;TÜTEN;(551) 130 05 01;RESEARCH AND DEVELOPMENT;ISMAIL.TÜTEN21@gmail.com
31;ISMAIL;AYHAN;(551) 130 05 01;RESEARCH AND DEVELOPMENT;ISMAIL.AYHAN31@gmail.com
32;EMRE;ORHON;(552) 130 05 02;RESEARCH AND DEVELOPMENT;EMRE.ORHON32@gmail.com
36;EVRIM;SARAÇOGLU;(556) 130 05 06;RESEARCH AND DEVELOPMENT;EVRIM.SARAÇOGLU36@gmail.com
42;KUBILAY;ERTEKIN;(552) 130 05 02;RESEARCH AND DEVELOPMENT;KUBILAY.ERTEKIN42@gmail.com
49;AYSEGÜL;KAYA;(559) 130 05 09;RESEARCH AND DEVELOPMENT;AYSEGÜL.KAYA49@gmail.com
79;SEVDA;TÜRKDOGAN;(559) 130 05 09;RESEARCH AND DEVELOPMENT;SEVDA.TÜRKDOGAN79@gmail.com
